,uid,appid,app_type,start_day,start_time,end_day,end_time,duration,up_flow,down_flow
0,17511,16,1,10,41216,10,41834,617,7244448,153609
1,6855,16,1,10,36181,10,36280,98,1238205,162215
2,6855,16,1,10,37114,10,37119,5,5050,7247
3,6855,16,1,10,44095,10,44106,11,111618,17523
4,23199,16,1,10,14032,10,14062,30,18060,17309
5,23199,83,1,10,14258,10,14404,145,2589862,52232
6,4827,90,1,10,38449,10,38648,198,2099377,90710
7,5927,16,0,10,20575,10,20698,122,20085454,67591
8,16572,78,1,10,19705,10,19708,2,0,0
9,16572,78,1,10,19708,10,19808,99,26108,1851
10,16572,78,1,10,42687,10,42761,73,207895,25831
11,16572,78,1,10,43864,10,43866,2,0,0
12,16572,78,1,10,43976,10,43986,9,21610,580
13,24629,28,1,10,42184,10,42188,4,13836,6613
14,8032,16,1,10,37978,10,38032,54,207116,70461
15,8032,16,1,10,38381,10,38394,13,58939,52457
16,8032,16,1,10,38397,10,38407,10,7493,16294
17,8032,16,1,10,38409,10,38411,2,4217,1692
18,8454,16,1,10,35707,10,35742,35,0,0
19,8454,16,1,10,35775,10,35819,43,0,0
20,7153,16,1,10,35754,10,35885,130,1467895,91591
21,7153,16,1,10,36071,10,36121,50,270858,45267
22,7153,16,1,10,36125,10,36208,82,19309,22747
23,7153,16,1,10,36212,10,36275,62,13091,15623
24,7153,16,1,10,36371,10,36467,96,2252152,59702
25,7153,16,1,10,39251,10,39451,200,284880,61982
26,7153,16,1,10,39251,10,39452,200,0,0
27,7153,16,1,10,39457,10,39484,27,79455,11962
28,18440,84,1,10,38118,10,38189,71,1219352,36953
29,18440,78,1,10,38433,10,38609,176,5211839,235476
30,10618,16,1,10,20102,10,20163,61,0,0
31,10618,16,1,10,31828,10,31920,92,0,0
32,10618,16,1,10,32852,10,33404,551,0,0
33,10618,16,1,10,33412,10,33467,55,0,0
34,10618,16,1,10,33472,10,33477,5,0,0
35,909,78,1,10,41038,10,41044,6,1149,568
36,909,16,1,10,43571,10,43939,368,9803281,191195
37,23319,16,1,10,38150,10,38192,42,345064,68389
38,23319,16,1,10,38238,10,38257,19,35924,14512
39,23319,16,1,10,38263,10,38267,4,555,2158
40,23319,16,1,10,38353,10,38359,6,24,24
41,23319,16,1,10,41403,10,41404,1,24,24
42,14796,16,1,10,38974,10,38988,14,808849,37359
43,14796,16,1,10,39010,10,39036,25,1407377,66034
44,14796,16,1,10,39154,10,39367,212,2244237,111472
45,14796,16,1,10,39369,10,39450,80,4272,2985
46,14796,16,1,10,39465,10,39477,12,10788,4104
47,14796,16,1,10,39672,10,39737,64,116697,26717
48,14796,16,1,10,39773,10,39780,7,5811,3057
49,14796,16,1,10,40473,10,40559,86,1333437,47577
50,22722,90,1,10,25838,10,26130,292,2038039,93388
51,22722,90,1,10,26132,10,26320,187,1984890,71449
52,22722,90,1,10,26321,10,26426,104,823851,7891
53,22722,90,1,10,26428,10,26461,33,6,0
54,22722,90,1,10,26463,10,26629,165,1816101,66072
55,22722,90,1,10,26631,10,26654,22,35741,2637
56,22722,90,1,10,26656,10,26671,14,0,0
57,22722,90,1,10,26672,10,26860,187,1466067,69134
58,22722,90,1,10,26862,10,26889,27,91177,882
59,22722,90,1,10,26891,10,27020,128,436218,16600
60,22722,90,1,10,27023,10,27089,66,265041,11557
61,22722,90,1,10,27091,10,27385,293,3347406,108669
62,22722,90,1,10,45214,10,45222,8,14773,9150
63,23255,16,1,10,4481,10,4690,209,3699245,69184
64,16320,16,1,10,28182,10,28184,1,9894,52
65,16320,16,1,10,28184,10,28250,65,1294709,24641
66,555,27,1,10,47734,10,48031,297,2129595,428544
67,555,16,1,10,48036,10,48116,79,1964584,44132
68,24956,16,1,10,28676,10,28704,28,1228932,55863
69,24956,16,1,10,37240,10,37269,29,1143801,143639
70,24956,16,1,10,43973,10,44025,51,1238364,60787
71,15353,10,1,10,58024,10,58059,35,868401,94738
72,6628,90,1,10,61140,10,61151,11,14501,27133
73,6628,90,1,10,61152,10,61360,207,1372498,115968
74,6411,16,1,10,2346,10,2356,9,0,0
75,6411,16,1,10,29018,10,29030,12,13454,7810
76,6411,16,1,10,29252,10,30167,915,1323604,183856
77,6411,16,1,10,363,10,522,158,35638728,162394
78,6411,16,1,10,754,10,755,1,0,0
79,6411,16,1,10,927,10,941,14,12,12
80,6411,16,1,10,1067,10,1069,1,0,0
81,6411,16,1,10,47776,10,47979,203,36064548,114673
82,16864,16,1,10,915,10,947,31,783870,110554
83,17264,90,1,10,46521,10,46871,350,1904531,142002
84,17264,90,1,10,46875,10,46907,31,341486,25601
85,17264,90,1,10,46913,10,46925,12,0,0
86,17264,90,1,10,47439,10,47454,15,0,0
87,17264,90,1,10,49200,10,49223,23,970,418
88,17264,90,1,10,49224,10,52376,3152,14156,10244
89,22949,16,1,10,39246,10,39260,14,141493,26755
90,22949,16,1,10,36979,10,36981,2,229172,31758
91,22949,57,1,10,37250,10,37265,15,0,0
92,22949,57,1,10,37279,10,37305,26,3797,2751
93,22949,57,1,10,37314,10,37327,13,4048,3038
94,22949,16,1,10,37361,10,37521,159,2118028,128356
95,22949,16,1,10,37594,10,37600,6,100399,25633
96,22949,16,1,10,37690,10,37788,97,3300225,68480
97,22949,16,1,10,37940,10,38032,91,897926,51358
98,22949,16,1,10,38055,10,38397,342,3297616,102857
99,22949,16,1,10,38412,10,38448,36,271222,19085
100,22949,16,1,10,38487,10,38611,124,187292,58764
101,3876,16,1,10,48675,10,48888,213,1314359,80825
