,uid,appid,app_type,start_day,start_time,end_day,end_time,duration,up_flow,down_flow
0,25001,16,1,6,31898,6,32003,105,897729,55320
1,18026,78,1,6,6367,6,6371,4,557950,7458
2,15533,16,1,6,60092,6,60241,148,1708124,54810
3,18765,16,1,6,7849,6,7869,19,342004,27123
4,12100,90,1,6,29389,6,29565,176,3291735,103816
5,12100,90,1,6,30085,6,30111,26,476787,27208
6,18134,16,1,6,42414,6,42671,257,1541888,54338
7,18134,16,1,6,44388,6,44423,34,17692,17407
8,18134,16,1,6,44437,6,45016,579,8548714,397312
9,18134,16,1,6,45101,6,45223,121,1252486,58011
10,18134,16,1,6,45266,6,46117,851,7020528,180642
11,18134,16,1,6,46172,6,46728,555,6933705,261949
12,18134,16,1,6,50151,6,50547,395,1316565,121957
13,10542,16,1,6,29584,6,29669,85,6621753,88566
14,18194,16,1,6,58655,6,58915,260,0,0
15,16340,16,1,6,12343,6,12501,157,2618383,177548
16,16340,78,1,6,12505,6,12861,355,10762127,553608
17,16340,78,1,6,12863,6,13117,253,3493331,174206
18,16340,16,1,6,29805,6,29820,15,308073,27785
19,23230,90,1,6,48509,6,48708,198,2162661,133089
20,23230,90,1,6,48711,6,48881,170,1908888,70701
21,23230,90,1,6,48912,6,48944,32,7648,6453
22,23230,90,1,6,49015,6,49041,26,40988,20353
23,23230,90,1,6,49146,6,49217,70,346109,48350
24,23230,90,1,6,49595,6,49598,3,648,4304
25,23230,90,1,6,54590,6,54602,12,52634,21587
26,23663,78,1,5,85940,6,338,797,11347332,405203
27,23663,78,1,6,340,6,424,84,463295,18927
28,23663,78,1,6,2248,6,2252,4,4915,2631
29,25323,90,1,6,34371,6,34503,131,3046215,100692
30,20802,16,1,6,34156,6,34355,199,815720,106610
31,20802,16,1,6,36162,6,36168,6,8707,10376
32,20802,16,1,6,36186,6,36737,550,1289263,166285
33,20802,16,1,6,36186,6,36737,551,0,0
34,20802,16,1,6,36762,6,36966,203,389170,60179
35,20802,16,1,6,36762,6,36966,203,0,0
36,20802,16,1,6,37106,6,37548,442,615055,134145
37,20802,16,1,6,37571,6,38576,1005,4065173,345669
38,20802,16,1,6,39119,6,39136,17,217112,90237
39,20802,16,1,6,39145,6,39466,320,6987415,157433
40,20802,16,1,6,39473,6,40802,1329,12368277,532426
41,20802,16,1,6,39473,6,40803,1330,0,1581
42,20802,16,1,6,40811,6,41036,224,1448160,99785
43,20802,16,1,6,40811,6,41037,225,0,0
44,20802,16,1,6,41292,6,41346,54,341905,40027
45,20802,16,1,6,41353,6,41667,314,5967167,122088
46,20802,16,1,6,41672,6,41679,6,60157,12197
47,20802,16,1,6,41687,6,42010,323,3056929,161504
48,20802,16,1,6,42013,6,42057,43,19365,14001
49,20802,16,1,6,43043,6,43049,6,9981,14608
50,20802,16,1,6,43094,6,43191,97,722981,73382
51,20802,16,1,6,53389,6,53440,51,1979075,53211
52,20802,16,1,6,53630,6,53673,43,468582,29896
53,20802,16,1,6,53760,6,53765,5,11528,14093
54,20802,16,1,6,53913,6,53921,8,54148,20290
55,20802,16,1,6,54282,6,54287,5,19400,19063
56,716,16,1,6,13130,6,15691,2561,72967279,1522192
57,716,16,1,6,15722,6,15858,135,1555355,89648
58,716,16,1,6,16761,6,16773,12,12,12
59,716,16,1,6,17044,6,17408,364,10182011,216311
60,11101,16,1,6,4416,6,4903,486,15323823,194022
61,11101,16,1,6,4416,6,4904,487,0,0
62,11101,16,1,6,4906,6,5097,190,4403850,55478
63,11101,16,1,6,1334,6,1344,9,9264,12581
64,25394,16,1,6,2214,6,2689,475,0,0
65,11454,16,1,6,4171,6,4522,350,5286905,292649
66,11454,16,1,6,5371,6,5497,126,1673802,39267
67,696,16,1,6,59199,6,59358,159,0,0
68,696,16,1,6,59563,6,60492,928,0,0
69,3852,16,1,6,236,6,700,464,7229859,151742
70,3852,10,1,6,703,6,1108,405,4089025,189146
71,10684,16,1,6,24454,6,24472,18,2301,2835
72,8688,16,1,6,24845,6,24861,16,262026,23342
73,22818,16,1,6,24645,6,25005,359,0,0
74,6572,16,1,6,3866,6,4053,186,3263106,101338
75,6572,16,1,6,8315,6,8326,11,373,457
76,6572,16,1,6,8368,6,8417,49,309090,18617
77,6572,16,1,6,8422,6,8593,170,2535458,98281
78,13323,16,1,6,10229,6,10316,87,1715495,167737
79,13323,16,1,6,10541,6,10586,44,432,4888
80,8585,16,1,6,32914,6,33512,597,5828995,103680
81,8585,16,1,6,33513,6,33759,245,779042,41179
82,8585,16,1,6,42555,6,42974,419,4113421,65800
83,22100,78,1,6,47660,6,47676,16,5180,69361
84,22100,78,1,6,47677,6,47689,12,272146,24820
85,22100,16,1,6,47701,6,47774,72,475042,177184
86,13692,16,1,6,47912,6,47919,6,10538,48851
87,13692,16,1,6,47936,6,47979,42,2076973,158501
88,15126,58,1,6,32281,6,32321,39,0,0
89,15126,58,1,6,32473,6,32475,2,0,0
90,15126,58,1,6,32478,6,32483,5,2161,8095
91,15126,58,1,6,41691,6,41697,6,0,0
92,1355,16,1,6,20947,6,21071,123,0,0
93,1355,16,1,6,21074,6,22040,966,8578031,197005
94,24492,16,1,6,41953,6,41959,6,41559,15259
95,24492,16,1,6,45994,6,46000,6,21971,14506
96,24492,16,1,6,32479,6,32506,27,87390,31415
97,5951,90,1,6,30960,6,30986,26,0,0
98,5951,90,1,6,30990,6,30994,4,0,0
99,5951,90,1,6,35136,6,35164,28,0,0
100,5951,90,1,6,35486,6,35509,23,0,0
101,5951,90,1,6,35530,6,35607,76,0,0
102,5951,90,1,6,36602,6,36612,10,0,0
103,5951,90,1,6,36614,6,36621,7,0,0
104,5951,90,1,6,36623,6,36971,347,0,0
105,5951,90,1,6,36975,6,36978,3,0,0
