,uid,appid,app_type,start_day,start_time,end_day,end_time,duration,up_flow,down_flow
0,9885,16,1,8,70202,8,70245,42,512954,75941
1,16131,16,1,8,29191,8,29207,16,654929,51436
2,16131,83,1,8,59733,8,59752,19,217824,10606
3,21260,16,1,8,49569,8,49694,124,1108098,133468
4,16912,16,1,8,45471,8,45532,61,0,0
5,8259,16,1,8,3703,8,3860,157,3636282,104229
6,8259,16,1,8,3861,8,4024,162,2088558,109210
7,19874,16,1,8,40212,8,40377,165,671825,64957
8,19874,16,1,8,40436,8,41066,630,362788,94381
9,19874,16,1,8,41073,8,41074,1,216,3586
10,19874,16,1,8,41149,8,41160,11,32044,21368
11,19874,16,1,8,41162,8,41203,40,12623,12559
12,19874,16,1,8,41216,8,41439,222,30482,27075
13,19874,16,1,8,43080,8,43136,56,328914,68547
14,19038,16,1,8,35829,8,36432,602,4536279,165319
15,6855,16,1,8,12647,8,12838,190,1103363,52786
16,6855,16,1,8,13566,8,13570,4,12,12
17,6855,16,1,8,13606,8,13662,56,527404,45220
18,6855,16,1,8,13666,8,13787,120,360180,63475
19,6855,16,1,8,13813,8,13955,142,2787926,33345
20,6855,16,1,8,14221,8,14541,319,849237,150214
21,6855,16,1,8,15100,8,15110,9,561,1109
22,6855,16,1,8,15334,8,17610,2276,8362653,656445
23,6855,16,1,8,17613,8,17614,1,6181,13705
24,18284,16,1,8,1441,8,1975,533,1890922,51376
25,18284,16,1,8,3246,8,3821,574,2716026,46819
26,21984,90,1,8,19961,8,19993,32,0,0
27,5518,16,1,8,67365,8,67375,10,10031,65
28,5518,16,1,8,67377,8,68300,923,2611445,197116
29,15307,16,1,8,35125,8,35126,1,6819,7032
30,15307,16,1,8,35126,8,35127,1,0,0
31,15307,69,1,8,35133,8,35443,309,0,0
32,15307,69,1,8,35480,8,35490,10,736,3104
33,15307,69,1,8,35667,8,35792,124,358415,50317
34,15307,69,1,8,35869,8,36110,240,384677,253788
35,18433,16,1,8,70845,8,70879,34,265211,54577
36,7682,78,1,8,43295,8,43312,16,92159,2494
37,7682,78,1,8,43313,8,44149,836,9778345,487021
38,9236,83,1,8,81491,8,81687,195,0,0
39,9236,83,1,8,81702,8,82147,444,6719876,134929
40,10401,16,1,8,24864,8,24946,81,0,0
41,10401,16,1,8,24955,8,25000,45,0,0
42,10401,83,1,8,41775,8,41778,3,0,0
43,10401,83,1,8,41778,8,41834,55,0,0
44,21813,16,1,8,45226,8,45312,85,0,0
45,21813,16,1,8,45313,8,45611,297,0,0
46,15492,16,1,8,35418,8,36142,724,5682836,230311
47,15492,16,1,8,38083,8,38402,319,524875,74472
48,15492,16,1,8,39644,8,39969,324,688365,75189
49,15492,16,1,8,40008,8,40013,5,864,479
50,15492,16,1,8,40014,8,40240,226,1549,888
51,15492,16,1,8,40253,8,40395,141,344844,32198
52,15492,16,1,8,41328,8,41337,8,9255,8201
53,15492,16,1,8,42256,8,42269,13,0,0
54,15492,78,1,8,44391,8,44445,53,0,0
55,15492,78,1,8,44487,8,44555,67,127466,16867
56,15492,78,1,8,44570,8,44575,5,0,0
57,15492,16,1,8,45376,8,45656,280,2050705,65448
58,15492,16,1,8,45671,8,45729,58,339470,40480
59,15492,16,1,8,45731,8,45733,2,8927,3434
60,15492,16,1,8,45913,8,45997,84,5595,394021
61,15492,16,1,8,46047,8,46136,89,4656,15164
62,15492,16,1,8,46188,8,46247,59,21203,15515
63,15492,16,1,8,46285,8,46347,62,3694,7186
64,15492,16,1,8,46382,8,47898,1515,8720690,992013
65,15492,16,1,8,48509,8,48534,25,4095,15250
66,15492,16,1,8,48566,8,48587,20,10144,15306
67,15492,16,1,8,48624,8,48692,68,7318,24207
68,15492,16,1,8,48852,8,48997,144,34375788,89616
69,15492,16,1,8,49067,8,49134,67,652109,70939
70,15492,16,1,8,49155,8,49518,363,8436762,99270
71,15492,16,1,8,50121,8,50162,40,258,1014
72,15492,16,1,8,50162,8,50310,148,211097,14824
73,15492,16,1,8,50370,8,50399,29,47349,17724
74,15492,16,1,8,50419,8,50447,28,34295,10964
75,15492,16,1,8,50533,8,50771,238,1346065,69313
76,15492,16,1,8,50851,8,51934,1082,6781077,231129
77,15492,16,1,8,51936,8,51981,45,709161,30189
78,15492,16,1,8,52511,8,52515,4,0,138
79,15492,16,1,8,52780,8,53238,458,7781865,95943
